timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-26 14:24:56,,0,,,0,,84
2026-04-26 14:24:57,,0,,,0,,84
2026-04-26 14:24:58,,0,,,0,,84
2026-04-26 14:24:59,,0,,,0,,84
2026-04-26 14:25:00,,0,,,0,,84
2026-04-26 14:25:01,,0,,,0,,84
2026-04-26 14:25:02,,0,,,0,,84
2026-04-26 14:25:03,,0,,,0,,84
2026-04-26 14:25:04,,0,,,0,,84
2026-04-26 14:25:05,,0,,,0,,84
2026-04-26 14:25:06,,0,,,0,,84
2026-04-26 14:25:07,,0,,,0,,84
2026-04-26 14:25:08,,0,,,0,,84
2026-04-26 14:25:09,,0,,,0,,84
2026-04-26 14:25:10,,0,,,0,,84
2026-04-26 14:25:11,,0,,,0,,84
2026-04-26 14:25:12,,0,,,0,,84
2026-04-26 14:25:14,,0,,,0,,84
2026-04-26 14:25:15,,0,,,0,,84
2026-04-26 14:25:16,,0,,,0,,84
2026-04-26 14:25:17,,0,,,0,,84
2026-04-26 14:25:18,,0,,,0,,84
2026-04-26 14:25:19,,0,,,0,,84
2026-04-26 14:25:20,,0,,,0,,84
2026-04-26 14:25:21,,0,,,0,,84
2026-04-26 14:25:22,,0,,,0,,84
2026-04-26 14:25:23,,0,,,0,,84
2026-04-26 14:25:24,,0,,,0,,84
2026-04-26 14:25:25,,0,,,0,,84
2026-04-26 14:25:26,,0,,,0,,84
2026-04-26 14:25:27,,0,,,0,,84
2026-04-26 14:25:28,,0,,,0,,84
2026-04-26 14:25:29,,0,,,0,,84
2026-04-26 14:25:30,,0,,,0,,84
2026-04-26 14:25:31,,0,,,0,,84
2026-04-26 14:25:32,,0,,,0,,84
2026-04-26 14:25:33,,0,,,0,,84
2026-04-26 14:25:34,,0,,,0,,84
2026-04-26 14:25:35,,0,,,0,,85
2026-04-26 14:25:36,,0,,,0,,84
2026-04-26 14:25:37,,0,,,0,,84
2026-04-26 14:25:38,,0,,,0,,84
2026-04-26 14:25:40,,0,,,0,,84
2026-04-26 14:25:41,,0,,,0,,84
2026-04-26 14:25:42,,0,,,0,,84
2026-04-26 14:25:43,,0,,,0,,84
2026-04-26 14:25:44,,0,,,0,,84
2026-04-26 14:25:45,,0,,,0,,84
2026-04-26 14:25:46,,0,,,0,,84
2026-04-26 14:25:47,,0,,,0,,84
2026-04-26 14:25:48,,0,,,0,,84
2026-04-26 14:25:49,,0,,,0,,84
2026-04-26 14:25:50,,0,,,0,,84
2026-04-26 14:25:51,,0,,,0,,84
2026-04-26 14:25:52,,0,,,0,,84
2026-04-26 14:25:53,,0,,,0,,84
2026-04-26 14:25:54,,0,,,0,,84
2026-04-26 14:25:55,,0,,,0,,84
2026-04-26 14:25:56,,0,,,0,,84
2026-04-26 14:25:57,,0,,,0,,84
2026-04-26 14:25:58,,0,,,0,,84
2026-04-26 14:25:59,,0,,,0,,84
2026-04-26 14:26:00,,0,,,0,,84
2026-04-26 14:26:01,,0,,,0,,84
2026-04-26 14:26:02,,0,,,0,,84
2026-04-26 14:26:03,,0,,,0,,84
2026-04-26 14:26:04,,0,,,0,,84
2026-04-26 14:26:05,,0,,,0,,84
2026-04-26 14:26:07,,0,,,0,,84
2026-04-26 14:26:08,,0,,,0,,84
2026-04-26 14:26:09,,0,,,0,,84
2026-04-26 14:26:10,,0,,,0,,84
2026-04-26 14:26:11,,0,,,0,,84
2026-04-26 14:26:12,,0,,,0,,84
2026-04-26 14:26:13,,0,,,0,,84
2026-04-26 14:26:14,,0,,,0,,84
2026-04-26 14:26:15,,0,,,0,,84
2026-04-26 14:26:16,,0,,,0,,84
2026-04-26 14:26:17,,0,,,0,,84
2026-04-26 14:26:18,,0,,,0,,84
2026-04-26 14:26:19,,0,,,0,,84
2026-04-26 14:26:20,,0,,,0,,84
2026-04-26 14:26:21,,0,,,0,,84
2026-04-26 14:26:22,,0,,,0,,84
2026-04-26 14:26:23,,0,,,0,,84
2026-04-26 14:26:24,,0,,,0,,84
2026-04-26 14:26:25,,0,,,0,,85
2026-04-26 14:26:26,,0,,,0,,84
2026-04-26 14:26:27,,0,,,0,,84
2026-04-26 14:26:28,,0,,,0,,84
2026-04-26 14:26:29,,0,,,0,,85
2026-04-26 14:26:30,,0,,,0,,84
2026-04-26 14:26:31,,0,,,0,,84
2026-04-26 14:26:33,,0,,,0,,84
2026-04-26 14:26:34,,0,,,0,,84
2026-04-26 14:26:35,,0,,,0,,84
2026-04-26 14:26:36,,0,,,0,,84
2026-04-26 14:26:37,,0,,,0,,84
2026-04-26 14:26:38,,0,,,0,,84
2026-04-26 14:26:39,,0,,,0,,84
2026-04-26 14:26:40,,0,,,0,,84
2026-04-26 14:26:41,,0,,,0,,84
2026-04-26 14:26:42,,0,,,0,,84
2026-04-26 14:26:43,,0,,,0,,84
2026-04-26 14:26:44,,0,,,0,,84
2026-04-26 14:26:45,,0,,,0,,84
2026-04-26 14:26:46,,0,,,0,,84
2026-04-26 14:26:47,,0,,,0,,84
2026-04-26 14:26:48,,0,,,0,,84
2026-04-26 14:26:49,,0,,,0,,84
2026-04-26 14:26:50,,0,,,0,,85
2026-04-26 14:26:51,,0,,,0,,84
2026-04-26 14:26:52,,0,,,0,,84
2026-04-26 14:26:53,,0,,,0,,84
2026-04-26 14:26:54,,0,,,0,,84
2026-04-26 14:26:55,,0,,,0,,84
2026-04-26 14:26:56,,0,,,0,,84
2026-04-26 14:26:57,,0,,,0,,84
2026-04-26 14:26:58,,0,,,0,,84
2026-04-26 14:27:00,,0,,,0,,84
2026-04-26 14:27:01,,0,,,0,,84
2026-04-26 14:27:02,,0,,,0,,84
2026-04-26 14:27:03,,0,,,0,,84
2026-04-26 14:27:04,,0,,,0,,84
2026-04-26 14:27:05,,0,,,0,,84
2026-04-26 14:27:06,,0,,,0,,84
2026-04-26 14:27:07,,0,,,0,,84
2026-04-26 14:27:08,,0,,,0,,84
2026-04-26 14:27:09,,0,,,0,,84
2026-04-26 14:27:10,,0,,,0,,84
2026-04-26 14:27:11,,0,,,0,,84
2026-04-26 14:27:12,,0,,,0,,84
2026-04-26 14:27:13,,0,,,0,,84
2026-04-26 14:27:14,,0,,,0,,84
2026-04-26 14:27:15,,0,,,0,,84
2026-04-26 14:27:16,,0,,,0,,85
2026-04-26 14:27:17,,0,,,0,,84
2026-04-26 14:27:18,,0,,,0,,84
2026-04-26 14:27:19,,0,,,0,,84
2026-04-26 14:27:20,,0,,,0,,84
2026-04-26 14:27:21,,0,,,0,,84
2026-04-26 14:27:22,,0,,,0,,84
2026-04-26 14:27:23,,0,,,0,,84
2026-04-26 14:27:24,,0,,,0,,84
2026-04-26 14:27:26,,0,,,0,,85
2026-04-26 14:27:27,,0,,,0,,84
2026-04-26 14:27:28,,0,,,0,,84
2026-04-26 14:27:29,,0,,,0,,84
2026-04-26 14:27:30,,0,,,0,,84
2026-04-26 14:27:31,,0,,,0,,84
2026-04-26 14:27:32,,0,,,0,,84
2026-04-26 14:27:33,,0,,,0,,84
2026-04-26 14:27:34,,0,,,0,,84
2026-04-26 14:27:35,,0,,,0,,84
2026-04-26 14:27:36,,0,,,0,,84
2026-04-26 14:27:37,,0,,,0,,84
2026-04-26 14:27:38,,0,,,0,,84
2026-04-26 14:27:39,,0,,,0,,84
2026-04-26 14:27:40,,0,,,0,,84
2026-04-26 14:27:41,,0,,,0,,85
2026-04-26 14:27:42,,0,,,0,,84
2026-04-26 14:27:43,,0,,,0,,84
2026-04-26 14:27:44,,0,,,0,,84
2026-04-26 14:27:45,,0,,,0,,84
2026-04-26 14:27:46,,0,,,0,,84
2026-04-26 14:27:47,,0,,,0,,84
2026-04-26 14:27:48,,0,,,0,,84
2026-04-26 14:27:49,,0,,,0,,84
2026-04-26 14:27:50,,0,,,0,,84
2026-04-26 14:27:52,,0,,,0,,84
2026-04-26 14:27:53,,0,,,0,,84
2026-04-26 14:27:54,,0,,,0,,84
2026-04-26 14:27:55,,0,,,0,,84
2026-04-26 14:27:56,,0,,,0,,84
2026-04-26 14:27:57,,0,,,0,,84
2026-04-26 14:27:58,,0,,,0,,84
2026-04-26 14:27:59,,0,,,0,,84
2026-04-26 14:28:00,,0,,,0,,84
2026-04-26 14:28:01,,0,,,0,,84
2026-04-26 14:28:02,,0,,,0,,84
2026-04-26 14:28:03,,0,,,0,,84
2026-04-26 14:28:04,,0,,,0,,84
2026-04-26 14:28:05,,0,,,0,,84
2026-04-26 14:28:06,,0,,,0,,85
2026-04-26 14:28:07,,0,,,0,,84
2026-04-26 14:28:08,,0,,,0,,84
2026-04-26 14:28:09,,0,,,0,,84
2026-04-26 14:28:10,,0,,,0,,84
2026-04-26 14:28:11,,0,,,0,,84
2026-04-26 14:28:12,,0,,,0,,84
2026-04-26 14:28:13,,0,,,0,,84
2026-04-26 14:28:14,,0,,,0,,84
2026-04-26 14:28:15,,0,,,0,,84
2026-04-26 14:28:16,,0,,,0,,84
2026-04-26 14:28:17,,0,,,0,,84
2026-04-26 14:28:19,,0,,,0,,84
2026-04-26 14:28:20,,0,,,0,,84
2026-04-26 14:28:21,,0,,,0,,84
2026-04-26 14:28:22,,0,,,0,,84
2026-04-26 14:28:23,,0,,,0,,84
2026-04-26 14:28:24,,0,,,0,,84
2026-04-26 14:28:25,,0,,,0,,84
2026-04-26 14:28:26,,0,,,0,,84
2026-04-26 14:28:27,,0,,,0,,84
2026-04-26 14:28:28,,0,,,0,,84
2026-04-26 14:28:29,,0,,,0,,84
2026-04-26 14:28:30,,0,,,0,,84
2026-04-26 14:28:31,,0,,,0,,84
2026-04-26 14:28:32,,0,,,0,,84
2026-04-26 14:28:33,,0,,,0,,84
2026-04-26 14:28:34,,0,,,0,,84
2026-04-26 14:28:35,,0,,,0,,84
2026-04-26 14:28:36,,0,,,0,,85
2026-04-26 14:28:37,,0,,,0,,84
2026-04-26 14:28:38,,0,,,0,,84
2026-04-26 14:28:39,,0,,,0,,84
2026-04-26 14:28:40,,0,,,0,,84
2026-04-26 14:28:41,,0,,,0,,84
2026-04-26 14:28:42,,0,,,0,,84
2026-04-26 14:28:43,,0,,,0,,84
2026-04-26 14:28:45,,0,,,0,,84
2026-04-26 14:28:46,,0,,,0,,84
2026-04-26 14:28:47,,0,,,0,,84
2026-04-26 14:28:48,,0,,,0,,84
2026-04-26 14:28:49,,0,,,0,,84
2026-04-26 14:28:50,,0,,,0,,85
2026-04-26 14:28:51,,0,,,0,,84
2026-04-26 14:28:52,,0,,,0,,84
2026-04-26 14:28:53,,0,,,0,,84
2026-04-26 14:28:54,,0,,,0,,84
2026-04-26 14:28:55,,0,,,0,,84
2026-04-26 14:28:56,,0,,,0,,84
2026-04-26 14:28:57,,0,,,0,,84
2026-04-26 14:28:58,,0,,,0,,84
2026-04-26 14:28:59,,0,,,0,,84
2026-04-26 14:29:00,,0,,,0,,84
2026-04-26 14:29:01,,0,,,0,,84
2026-04-26 14:29:02,,0,,,0,,84
2026-04-26 14:29:03,,0,,,0,,84
2026-04-26 14:29:04,,0,,,0,,84
2026-04-26 14:29:05,,0,,,0,,84
2026-04-26 14:29:06,,0,,,0,,84
2026-04-26 14:29:07,,0,,,0,,85
2026-04-26 14:29:08,,0,,,0,,85
2026-04-26 14:29:09,,0,,,0,,84
2026-04-26 14:29:10,,0,,,0,,84
2026-04-26 14:29:12,,0,,,0,,84
2026-04-26 14:29:13,,0,,,0,,84
2026-04-26 14:29:14,,0,,,0,,84
2026-04-26 14:29:15,,0,,,0,,84
2026-04-26 14:29:16,,0,,,0,,84
2026-04-26 14:29:17,,0,,,0,,84
2026-04-26 14:29:18,,0,,,0,,84
2026-04-26 14:29:19,,0,,,0,,84
2026-04-26 14:29:20,,0,,,0,,84
2026-04-26 14:29:21,,0,,,0,,84
2026-04-26 14:29:22,,0,,,0,,84
2026-04-26 14:29:23,,0,,,0,,84
2026-04-26 14:29:24,,0,,,0,,84
2026-04-26 14:29:25,,0,,,0,,84
2026-04-26 14:29:26,,0,,,0,,84
2026-04-26 14:29:27,,0,,,0,,84
2026-04-26 14:29:28,,0,,,0,,84
2026-04-26 14:29:29,,0,,,0,,84
2026-04-26 14:29:30,,0,,,0,,84
2026-04-26 14:29:31,,0,,,0,,84
2026-04-26 14:29:32,,0,,,0,,84
2026-04-26 14:29:33,,0,,,0,,84
2026-04-26 14:29:34,,0,,,0,,84
2026-04-26 14:29:35,,0,,,0,,84
2026-04-26 14:29:36,,0,,,0,,84
2026-04-26 14:29:37,,0,,,0,,84
2026-04-26 14:29:39,,0,,,0,,84
2026-04-26 14:29:40,,0,,,0,,85
2026-04-26 14:29:41,,0,,,0,,85
2026-04-26 14:29:42,,0,,,0,,84
2026-04-26 14:29:43,,0,,,0,,84
2026-04-26 14:29:44,,0,,,0,,84
2026-04-26 14:29:45,,0,,,0,,84
2026-04-26 14:29:46,,0,,,0,,84
2026-04-26 14:29:47,,0,,,0,,85
2026-04-26 14:29:48,,0,,,0,,84
2026-04-26 14:29:49,,0,,,0,,84
2026-04-26 14:29:50,,0,,,0,,84
2026-04-26 14:29:51,,0,,,0,,84
2026-04-26 14:29:52,,0,,,0,,84
2026-04-26 14:29:53,,0,,,0,,84
2026-04-26 14:29:54,,0,,,0,,84
2026-04-26 14:29:55,,0,,,0,,84
2026-04-26 14:29:56,,0,,,0,,84
2026-04-26 14:29:57,,0,,,0,,84
2026-04-26 14:29:58,,0,,,0,,85
2026-04-26 14:29:59,,0,,,0,,84
2026-04-26 14:30:00,,0,,,0,,84
2026-04-26 14:30:01,,0,,,0,,84
2026-04-26 14:30:02,,0,,,0,,84
2026-04-26 14:30:03,,0,,,0,,84
2026-04-26 14:30:05,,0,,,0,,84
2026-04-26 14:30:06,,0,,,0,,84
2026-04-26 14:30:07,,0,,,0,,84
2026-04-26 14:30:08,,0,,,0,,84
2026-04-26 14:30:09,,0,,,0,,84
2026-04-26 14:30:10,,0,,,0,,84
2026-04-26 14:30:11,,0,,,0,,84
2026-04-26 14:30:12,,0,,,0,,85
2026-04-26 14:30:13,,0,,,0,,84
2026-04-26 14:30:14,,0,,,0,,84
2026-04-26 14:30:15,,0,,,0,,84
2026-04-26 14:30:16,,0,,,0,,84
2026-04-26 14:30:17,,0,,,0,,84
2026-04-26 14:30:18,,0,,,0,,84
2026-04-26 14:30:19,,0,,,0,,84
2026-04-26 14:30:20,,0,,,0,,84
2026-04-26 14:30:21,,0,,,0,,84
2026-04-26 14:30:22,,0,,,0,,84
2026-04-26 14:30:23,,0,,,0,,84
2026-04-26 14:30:24,,0,,,0,,85
2026-04-26 14:30:25,,0,,,0,,85
2026-04-26 14:30:26,,0,,,0,,84
2026-04-26 14:30:27,,0,,,0,,84
2026-04-26 14:30:28,,0,,,0,,84
2026-04-26 14:30:29,,0,,,0,,84
2026-04-26 14:30:31,,0,,,0,,84
2026-04-26 14:30:32,,0,,,0,,84
2026-04-26 14:30:33,,0,,,0,,84
2026-04-26 14:30:34,,0,,,0,,84
2026-04-26 14:30:35,,0,,,0,,84
2026-04-26 14:30:36,,0,,,0,,84
2026-04-26 14:30:37,,0,,,0,,84
2026-04-26 14:30:38,,0,,,0,,85
2026-04-26 14:30:39,,0,,,0,,84
2026-04-26 14:30:40,,0,,,0,,84
2026-04-26 14:30:41,,0,,,0,,84
2026-04-26 14:30:42,,0,,,0,,84
2026-04-26 14:30:43,,0,,,0,,84
2026-04-26 14:30:44,,0,,,0,,84
2026-04-26 14:30:45,,0,,,0,,84
2026-04-26 14:30:46,,0,,,0,,84
2026-04-26 14:30:47,,0,,,0,,84
2026-04-26 14:30:48,,0,,,0,,84
2026-04-26 14:30:49,,0,,,0,,84
2026-04-26 14:30:50,,0,,,0,,85
2026-04-26 14:30:51,,0,,,0,,84
2026-04-26 14:30:52,,0,,,0,,84
2026-04-26 14:30:53,,0,,,0,,84
2026-04-26 14:30:54,,0,,,0,,84
2026-04-26 14:30:55,,0,,,0,,84
2026-04-26 14:30:56,,0,,,0,,84
2026-04-26 14:30:58,,0,,,0,,84
2026-04-26 14:30:59,,0,,,0,,84
2026-04-26 14:31:00,,0,,,0,,84
2026-04-26 14:31:01,,0,,,0,,84
2026-04-26 14:31:02,,0,,,0,,84
2026-04-26 14:31:03,,0,,,0,,84
2026-04-26 14:31:04,,0,,,0,,85
2026-04-26 14:31:05,,0,,,0,,84
2026-04-26 14:31:06,,0,,,0,,84
2026-04-26 14:31:07,,0,,,0,,84
2026-04-26 14:31:08,,0,,,0,,84
2026-04-26 14:31:09,,0,,,0,,84
2026-04-26 14:31:10,,0,,,0,,84
2026-04-26 14:31:11,,0,,,0,,84
2026-04-26 14:31:12,,0,,,0,,84
2026-04-26 14:31:13,,0,,,0,,84
2026-04-26 14:31:14,,0,,,0,,84
2026-04-26 14:31:15,,0,,,0,,84
2026-04-26 14:31:16,,0,,,0,,84
2026-04-26 14:31:17,,0,,,0,,85
2026-04-26 14:31:18,,0,,,0,,84
2026-04-26 14:31:19,,0,,,0,,84
2026-04-26 14:31:20,,0,,,0,,84
2026-04-26 14:31:21,,0,,,0,,84
2026-04-26 14:31:22,,0,,,0,,84
2026-04-26 14:31:23,,0,,,0,,84
2026-04-26 14:31:25,,0,,,0,,84
2026-04-26 14:31:26,,0,,,0,,84
2026-04-26 14:31:27,,0,,,0,,84
2026-04-26 14:31:28,,0,,,0,,84
2026-04-26 14:31:29,,0,,,0,,84
2026-04-26 14:31:30,,0,,,0,,84
2026-04-26 14:31:31,,0,,,0,,85
2026-04-26 14:31:32,,0,,,0,,84
2026-04-26 14:31:33,,0,,,0,,84
2026-04-26 14:31:34,,0,,,0,,84
2026-04-26 14:31:35,,0,,,0,,84
2026-04-26 14:31:36,,0,,,0,,84
2026-04-26 14:31:37,,0,,,0,,84
2026-04-26 14:31:38,,0,,,0,,84
2026-04-26 14:31:39,,0,,,0,,84
2026-04-26 14:31:40,,0,,,0,,84
2026-04-26 14:31:41,,0,,,0,,84
2026-04-26 14:31:42,,0,,,0,,84
2026-04-26 14:31:43,,0,,,0,,84
2026-04-26 14:31:44,,0,,,0,,85
2026-04-26 14:31:45,,0,,,0,,84
2026-04-26 14:31:46,,0,,,0,,84
2026-04-26 14:31:47,,0,,,0,,84
2026-04-26 14:31:48,,0,,,0,,84
2026-04-26 14:31:49,,0,,,0,,84
2026-04-26 14:31:51,,0,,,0,,84
2026-04-26 14:31:52,,0,,,0,,84
2026-04-26 14:31:53,,0,,,0,,84
2026-04-26 14:31:54,,0,,,0,,84
2026-04-26 14:31:55,,0,,,0,,84
2026-04-26 14:31:56,,0,,,0,,84
2026-04-26 14:31:57,,0,,,0,,84
2026-04-26 14:31:58,,0,,,0,,85
2026-04-26 14:31:59,,0,,,0,,84
2026-04-26 14:32:00,,0,,,0,,84
2026-04-26 14:32:01,,0,,,0,,84
2026-04-26 14:32:02,,0,,,0,,84
2026-04-26 14:32:03,,0,,,0,,84
2026-04-26 14:32:04,,0,,,0,,84
2026-04-26 14:32:05,,0,,,0,,84
2026-04-26 14:32:06,,0,,,0,,84
2026-04-26 14:32:07,,0,,,0,,84
2026-04-26 14:32:08,,0,,,0,,84
2026-04-26 14:32:09,,0,,,0,,84
2026-04-26 14:32:10,,0,,,0,,84
2026-04-26 14:32:11,,0,,,0,,85
2026-04-26 14:32:12,,0,,,0,,84
2026-04-26 14:32:13,,0,,,0,,84
2026-04-26 14:32:14,,0,,,0,,84
2026-04-26 14:32:15,,0,,,0,,84
2026-04-26 14:32:17,,0,,,0,,84
2026-04-26 14:32:18,,0,,,0,,84
2026-04-26 14:32:19,,0,,,0,,84
2026-04-26 14:32:20,,0,,,0,,84
2026-04-26 14:32:21,,0,,,0,,84
2026-04-26 14:32:22,,0,,,0,,84
2026-04-26 14:32:23,,0,,,0,,85
2026-04-26 14:32:24,,0,,,0,,84
2026-04-26 14:32:25,,0,,,0,,84
2026-04-26 14:32:26,,0,,,0,,84
2026-04-26 14:32:27,,0,,,0,,84
2026-04-26 14:32:28,,0,,,0,,84
2026-04-26 14:32:29,,0,,,0,,84
2026-04-26 14:32:30,,0,,,0,,84
2026-04-26 14:32:31,,0,,,0,,84
2026-04-26 14:32:32,,0,,,0,,85
2026-04-26 14:32:33,,0,,,0,,84
2026-04-26 14:32:34,,0,,,0,,84
2026-04-26 14:32:35,,0,,,0,,84
2026-04-26 14:32:36,,0,,,0,,84
2026-04-26 14:32:37,,0,,,0,,84
2026-04-26 14:32:38,,0,,,0,,84
2026-04-26 14:32:39,,0,,,0,,3
2026-04-26 14:32:40,,0,,,0,,3
2026-04-26 14:32:41,,0,,,0,,3
2026-04-26 14:32:42,,0,,,0,,3
2026-04-26 14:32:43,,0,,,0,,3
